level 1	level 2	level 3
This news is from South Korea. South Korean protesters are at the border of the Koreas. They have three balloons. They launch them. The balloons fly to North Korea. The balloons carry 50,000 pieces of paper. On each paper, there is text. In the text, the South Koreans write about North Korea. South Korea does not like North Korea’s military  provocations . They criticise Kim Jong Un, too.	South Korean protesters launched three balloons with anti-Pyongyang messages in a city near the border of the Koreas. In the 50,000 leaflets , the protesters condemned North Korea’s provocations against the Republic of Korea. The leaflets criticised Kim Jong Un, as well. In January, North Korea did a nuclear test, and in February, it launched a rocket. This meant that the situation between the Koreas became worse.	Taking off into the sky, these balloons filled with anti-Pyongyang messages were launched by South Korean protesters headed to North Korea. Three balloons carrying around 50,000 leaflets were released in the border city of Paju. The packages can be seen floating over the border amid tension following the North’s nuclear test and rocket launch. “We sent the leaflets carrying a message denouncing Kim Jong Un’s succession and North Korea’s nuclear missile programme. The leaflets also condemn North Korea’s armed provocations against the Republic of Korea.” Tensions have been high on the Korean Peninsula since the North conducted a nuclear test in January and a long-ranged rocket launch in February, prompting the United Nations Security Council to issue new sanctions . North Korean leader Kim Jong Un has recently been making official appearances in military drills and rocket engine testings which, if genuine , could indicate that an intercontinental ballistic missile is being developed.
The Evergrande Group is a Chinese company. It buys land. It builds houses. The company is very big. Sadly, it has big debts , too. The company builds 38 buildings in Danzhou City, China. The houses are on the Ocean Flower Island. The island is not real. People build it. It is bigger than the Palm Islands in the United Arab Emirates. Then, there is a problem. The Chinese media says that the buildings are not legal . Evergrande does not have building permits. The permits are official documents which say that someone can build a house. The Chinese authorities say that Evergrande must demolish the buildings. The company must do it this week.	The Evergrande Group is one of the largest developers in China, but it also has the largest debts in the world. The company started to build 38 buildings in Danzhou City, China, as a part of a project on the Ocean Flower Island. The island is even bigger than the Palm Islands of Dubai. Last year, the Chinese media reported that Evergrande built the houses illegally because the company did not have a building permit . The company owed 300 billion dollars to other companies, and it offered to sell them some of the houses and apartments on the island. Local authorities did not agree with this, and on December 30, they decided that the company had to remove the buildings within 10 days. It means that destruction should start by January 3.	39 buildings in construction have to be demolished. They were built over the past eight years at a huge resort-style development at the Ocean Flower Island project in China. The project was being built on the largest man made island in the world, eclipsing anything built in the Middle East, including the Palm Islands of Dubai in the United Arab Emirates. The Evergrande Group, the property developer, reportedly had illegal building permits for the luxury development. Pressure continues to grow for the most indebted developer in the world, and the company is struggling to repay more than 300 billion dollars in liabilities . Last November, media reported that authorities in Danzhou City refused Evergrande´s plan to offer contractors and suppliers properties to partially repay the ongoing debts. The order to remove the buildings was signed on December 30, meaning the company could start destruction work by January 9.
This news is about food. A restaurant in Mexico offers something special. It puts insects in its tacos. You can have, for example, bugs, spiders and scorpions. The insects are wild. People go into the hills, lift up rocks and catch them. This can be dangerous because some insects sting . Some people don’t want to eat insects. Then they try it, and they like it! Some insects don’t have a characteristic flavour . You can give them any flavour that you want.	This news is about food which is not for everybody, certainly not for those who are afraid of bugs, spiders and scorpions. A restaurant in Mexico offers tacos with insects on top. The insects are wild. People go into the hills, lift up the rocks and find insects in the weeds . You must be really careful because some insects can sting you. Some people say that they would never eat an insect, but then they try it and they like it! Scorpions, for example, don’t have characteristic flavours . The preparation gives them one.	Now, it’s not a dish for everyone, certainly not for those afraid of bugs, but one small Mexico restaurant is offering up a new food challenge – tacos with insect toppings ! Yeah, La Cocinita de San Juan even has a full list of Mexican-style tacos with wild menu items such as scorpions and spiders. And they really are wild, says restaurant owner Pedro Hernandez. “It’s really hard to catch them. They’re wild, so there are people who are in charge of going into the hills to go and lift up the rocks and uncover them in the weeds . You have to be really careful when you grab them because the scorpions, if they sting you, those little scorpions will send you to hospital.” So, how do you get your customers to eat something they would normally send back to the kitchen ? Well, apparently some of the dishes are easy to disguise . “Scorpion doesn’t have a very characteristic flavour, really. It’s the preparation that really gives it a characteristic flavour. Then, they’ll eat it. Because otherwise, they’ll say, ‘No wait, I’m not going to eat a scorpion,’ then seeing it all prepared, they eat it and say, ‘Well, it’s good.’” Well, we don’t know about you, but we’d rather stick to a burger!
People in Portland, Oregon, and Seattle, Washington, US, see something unusual in the sky at night. People see bright lights. The lights move quickly. Scientists do not think that the lights are a plane or a meteor . They soon know the truth. A SpaceX rocket takes off from Florida US on March 4. The plan is that the rocket will go to space and stay there. Then a mistake happens. The rocket returns . It starts to burn in the earth´s atmosphere . People see the lights. Scientists do not know if some pieces of the rocket fall to the ground. People from this part of the US do not usually see rockets in the sky. They are very surprised. They share pictures on the Internet.	Last week, people in Portland, Oregon, and Seattle, Washington, US, saw unusual lights in the night sky. They thought that it was something from another world, but they soon found out the truth. The lights were not planes or meteors but a SpaceX rocket. The rocket took off from Florida, US, on March 4, and engineers planned that it would leave the earth´s atmosphere . Then the rocket came back to the atmosphere and it started to burn. It seemed that the light were debris from the rocket, but scientists did not know if some debris fell to the ground. People in Portland and Seattle were very excited because it was not usual for them to see lights in the sky. SpaceX rockets usually take off in other parts of the US where people can see lights in the sky very often.	A streak of light in the night sky over much of the Portland area of Oregon, US, spurred speculation among people. However, the mysterious bright lights weren´t planes or meteors, but they turned out to be debris from a SpaceX rocket. The rocket was launched in Florida on March 4, and it was one of four SpaceX rockets launched in the last month. However, the rocket failed to perform a deorbit , and it reentered the Earth´s atmosphere at the wrong angle, causing it to burn up and scatter debris across the sky. Weather service officials said that they hadn´t heard of any impacts across the region, and they weren´t sure if some debris fell to the ground. SpaceX launches happen regularly in California, Texas, and Florida, and for some Americans, it is a common thing to see unidentified rockets, or their debris, whizzing overhead; however, in the Seattle and Portland areas, the spectacle caused delight and bewilderment .
People can advertise on Facebook. Some advertisements are political. The political advertisers must tell Facebook who they are. They also must say where they are. However, some advertisers give fake information. This year, the advertisers must give Facebook more information. Facebook is doing this to make sure that the advertisers are real. If everything is fine, Facebook calls them a “ Confirmed Organization.” This way, people know that the political organization is real. People can ask the advertisers questions, too.	Last year, political advertisers on Facebook had to prove their identity and location. This was so users could check if the organization was real. However, some advertisers did not give correct information. This year, advertisers on Facebook must give more information. If they do, they are listed on Facebook as a “ Confirmed Organization.” Users can also check all of their information. Facebook says that this change will make it easier for users to know if an organization is truthful and to ask questions.	Last year, Facebook required political advertisers to confirm their identity and location so that users could verify their information, but some advertisers gave false information. This year, Facebook is requiring them to give more details, such as identification numbers. If they give the necessary information, they will show up on Facebook as a “ Confirmed Organization.” Users can also check all of their details. Facebook says that this change will let users look into the legitimacy of an advertiser or an organization, and it will let them ask questions if they do not trust the information.
A person has a cardiac arrest when his or her heart stops working. This is very dangerous. You can help this person by giving him or her CPR. When you give CPR, you press down on the person´s chest . You massage the person’s heart like this. You breathe into the person’s mouth, too. Scientists do a study. They study how many people give CPR in public . They find out that women get 23% less CPR than men. Some people want to know why. People use models to learn CPR. The models look like men. They do not look like women. The people think that this reason can be why. They make the Womanikin. You put the Womanikin on the model. The model looks like a woman, not a man, with the Womankin.	A 2017 study found that American and Canadian women were 27% less likely to receive CPR in public than men. Some people thought about the reasons for this. One of the reasons could be that people are taught to perform CPR on dummies with flat chests. To solve this problem, people created the Womanikin which can add breasts on the dummies. The creators say that this is not going to make everything OK, but it was a step in the right way. They hope to have it in classes across the USA by the end of next year.	A 2017 study found that American and Canadian women were 27% less likely to receive CPR in public than men. The JOAN Creative agency thought that the statistic came because people were not trained on women’s bodies and were not sure about touching women’s breasts during CPR, so they created an attachment for flat-chested CPR dummies . The attachment is called the Womanikin, and it basically adds breasts onto the male dummy. The creator told CNN that ‘the Womanikin won’t solve everything, but it’s a step in the right direction’ and people hope to make it available for CPR classes across the USA by the end of next year. Hopefully, it will make a difference and more women who suffer cardiac arrest in public will be saved.
Some people live near a train station. They can travel to work. It is good for them. But it is not good when the train is very close. There is a city in Vietnam. It has a very narrow street. In the street there is a way for trains to pass. Trains go there every day. The trains go very near the houses. This is not good for the people. People must be careful when they go home because the trains can hit them. There were accidents there in the past.	A train station close to your home would be for most commuters a nice thing. In Hanoi though, things got a little bit too close. In the Vietnam capital city there is a street where trains pass right in front of people’s doors. Only centimetres separate the train and the houses. The train goes through the narrow street every day at 4 pm and at 7 pm. Residents usually hide because there have been accidents in the past. Living there cannot be very nice, mainly because of the noise and also for the security reasons.	UK commuters frequently use trains, and living as close as they could to a train station could be likened to the “ Holy Grail ,” but it would not be comfortable. In Hanoi, Vietnam, there is a train that passes right by people’s front doors. At 4 pm and 7 pm every day, the train swiftly comes down the street. The people there have to retreat into their homes to avoid accidents. In most places, this train would probably not get the nod due to safety reasons, in addition to the lack of peace that would come from a train passing almost inside your house every day.
Arkansas is a state in the American South. Police stop a car there. The car stops. The driver starts to shoot at the policeman. The policeman shoots back. A camera in the police car films the incident . The shooting goes on for about a minute. Then the man gets back in his car. He drives away. Later police arrest him.	Arkansas is a state in the American South, and the police stopped a man there for a traffic violation last Sunday. Moments after stopping, he opened fire on the police officer. The officer started firing back at him. A camera in the police car filmed the incident. The video also shows another car approach and stop at the scene . Then, it quickly backs up to get away from the danger. After about a minute of shooting, the man got back in his car and drove away. Luckily, no one was seriously hurt in the incident. Police arrested the driver later that day.	Police stopped a man in Arkansas for a traffic violation last Sunday; Arkansas is a state in the American South. Moments after stopping, the man opened fire on the police officer who started shooting back at him. The video filmed from the police car also shows an SUV approaching and stopping at the scene, but then backing up quickly as if to have nothing to do with the shooting. After about a minute of shooting, the man got back in his car and drove away. Luckily, no one was seriously hurt in the incident, and police arrested the driver later that day.
This news is from England. A 31-year-old man steals a wallet from a car. This happens in Birmingham. The police can see the thief on camera. The police cannot believe what the thief is doing. The thief is dancing. He is happy because he has money now. Dancing is his celebration. The police find the man. It is not the first time that he steals something. The thief goes to prison. His prison time is two weeks.	In Birmingham, England, Police released a video of a 31-year-old man who took a wallet from a parked car. The police could not believe it when they saw the video. The thief was so happy when he found a fifty-pound note in a stolen wallet that he did a little dance.  He was happy when he found the money, but he looked very miserable when the police knocked on the door to arrest him. In the past, the man already did shoplifting and other little crimes. Now, he will spend two weeks in prison.	This thief was so happy at finding a fifty-pound note in a stolen wallet that he did a little celebratory dance. Police have released this CCTV footage of the 31-year-old man, who took the wallet from a parked car in Birmingham. Sergeant Alan Lawless said, “We couldn’t believe it when we saw the footage . He was so happy at getting his hands on someone else’s cash that he did a little dance on the pavement. He may have felt like dancing at the time, but he looked pretty miserable when we knocked on his door to arrest him.” The man, who has convictions for offences including shoplifting, criminal damage, and vehicle interference , was later jailed for two weeks after admitting theft. Dancing his ways behind bars!
Malcolm X is an African American leader. He is born in 1925. He wants Black nationalism. Black nationalism is the idea that Black people are independent . They do not live with white people. In 1965, somebody shoots Malcolm X in New York, USA. Police arrest two men. They think that they kill him. They are Muhammad Aziz and Khalil Islam. They do not really kill Malcolm X. Sadly, in total, they spend 42 years in prison. It is a big mistake . In 2020, Netflix makes a documentary. A documentary is a show about real events. The documentary is about Malcolm X´s death. The documentary shows that something is wrong. A new investigation starts. Police find that Aziz and Islam do not kill Malcolm X. Now, Aziz is 83 years old. He is a free man. Islam dies in 2009.	Malcolm X was an African-American leader, and he supported Black nationalism . In 1965, he was giving a speech in New York, USA, when somebody shot him. Shortly after the attack, police arrested two men, Muhammad Aziz and Khalil Islam. In total, they spent 42 years in prison, but they were innocent . In the 1980s, people still believed that they killed Malcolm X when they left prison. In 2020, a Netflix documentary showed that the two men were probably innocent, and police studied the situation. Now, police found that the two men really did not kill Malcolm X. Aziz, who is now in his 80s, is finally a free man. Sadly, Islam died in 2009, so he never saw justice .	In 1965, someone assassinated Malcolm X, an African-American political leader and a famous Black Muslim, while he gave a speech in a ballroom in New York City, USA. Police fell upon Muhammad Aziz and Khalil Islam only moments after the assassination. However, these two men were innocent, and they became victims of a major miscarriage of justice. In 1966, a court sentenced them to life behind bars for a combined 42 years. They were released in the 1980s, yet, the crime followed them for years. A 2020 Netflix documentary discovered problems in the investigation, and then police reopened the case. Now, after a two-year-investigation, the court exonerated them, and in his 80s, Aziz is at last a free man. Sadly, Islam died in 2009 without ever seeing justice.
There is a law about Internet neutrality . It starts in 2015. In 2017, the Federal Communications Commission (FCC) changes it. The FCC controls US states and their laws on the Internet. Some people do not agree with the change. They say that this is not legal. They say that the Internet must be free and open for everybody. Now the situation is different. The FCC cancels some rules. A court confirms the change. The FCC must change the rules. They must protect people and everything must be legal. The FCC leader is happy with the new situation. He says that Internet is free. He wants free Internet in the future, too.	The Federal Communications Commission (FCC) canceled the rules for a neutral Internet and a court confirmed it. In the past, the FCC had control over states and their Internet laws. FCC Commissioner Jessica Rosenworcel said that this was against the law, and there must be free and open Internet for everybody. The FCC must check if the new situation will be a problem for public safety. FCC Chairman Ajit Pai is happy with the court´s decision. He says that the Internet is free, and promised that it will be free in the future, too. Since 2015, the Internet was neutral, but the FCC voted and regulated the neutrality in 2017.	The Federal Communications Commission (FCC) repealed the rules for net  neutrality and a federal appeals court confirmed it. According to the rules, the FCC could prohibit states from making their own laws on net neutrality. The FCC Commissioner Jessica Rosenworcel said that it is unlawful, and that states must protect an open Internet for their citizens. The FCC must change the rules and check if the repeal can affect public safety. FCC Chairmain Ajit Pai welcomed the court´s decision. He said that there is free and open Internet and promised that it will be free in the future, too. In 2015, the rules adopted said that the Internet must be neutral but in 2017, the FCC repealed the rules.
Facebook wants to hire 10,000 workers this year. They are product and engineering workers. Facebook is very lucky. There are few companies hiring new people now. The situation is very difficult for many US companies. This is because of the coronavirus. People must not stay too close to each other. It slows down the coronavirus. However, many companies have money problems because of this. These are companies like restaurants or travel agencies. People lose their jobs. Small businesses close down . Bigger companies do not make things. In March, 10 million people lose their job in the US. Facebook wants to help. Facebook decides to give $100 million to small businesses.	On Thursday, Facebook announced that it will hire 10,000 workers by the end of 2020. These people will be product and engineering workers, and it is not clear if they will be contractors or full-time workers . Facebook is one of a few companies that are hiring new employees during the coronavirus. The company feels very lucky because many businesses are closing down or firing their employees. In the past weeks, 10 million people lost their jobs in the US. It was important that people do not stay too close to each other. This helps slow down the spread of the coronavirus; however, many small businesses, such as restaurants or travel agencies are losing money. Facebook decided to help these businesses, and the company will give them $100 million dollars.	Facebook COO , Sheryl Sandberg, said that the company expects to hire 10,000 new product and engineering workers by the end of 2020. At the moment, it is not clear if the newly hired people will include contractors or full-time Facebook employees. Sandberg said that the company feels fortunate to be able to do that. Facebook is probably one of few companies that are actually expanding during the coronavirus outbreak. In the last two weeks of March, 10 million people claimed unemployment in the US. The US President, Donald Trump, has extended social distancing guidelines until April 30 to help slow the spread of the coronavirus. Facebook announced that it will give $100 million to support small businesses that have gone  bankrupt due to social distancing.
This happens in Brazil. It is about thirteen prisoners. They are in one cell . Their guard does not check it. They have time to dig a tunnel. They use the tunnel and they run away. They film the situation on a phone. It is the guard’s fault. He gets in trouble for this. Police look for the prisoners. They find two of them.	Thirteen Brazilian prisoners dug a tunnel from their cell and escaped. They even used a phone to film the escape. The police suspended the prisoners’ guard because he didn’t check their cell for two months! The prisoners were free to dig their way out. Police tracked down two of the prisoners already.	This footage filmed on a mobile phone shows prisoners from a Brazilian jail celebrating their escape after they dug a tunnel. CCTV footage from outside the prison shows some of the men scampering across the yard. In total, 13 prisoners were able to escape after digging the tunnel from inside their cell. The convicts used a smart phone to record their daring escape and have even posted it online. The footage shows the inside of the tunnel and the convicts cramped inside. Local media has reported that the prison guard on duty at the time has been suspended after not checking the cell for nearly 60 days prior to the escape. “The guard that was there on the day, that was looking after things, in the CPP, we now know that there had not been an inspection of the cell for almost 60 days. They dug a tunnel and it was easy to escape.” Police have already managed to track down two of the escaped convicts.
